,0,temp,humidity,latitude,cloudiness,wind speed
0,Kapaa,78.08,68,22.08,75,4.63
1,Rikitea,80.63,95,-23.12,32,15.86
2,Bredasdorp,68.0,77,-34.53,92,8.05
3,Qaanaaq,-14.06,82,77.48,0,9.93
4,Castro,55.4,58,-42.48,75,18.34
5,Coquimbo,71.6,49,-29.95,0,14.99
6,Butaritari,84.09,100,3.07,20,8.43
7,Naze,75.2,64,5.43,0,5.35
8,Cape Town,68.0,72,-33.93,20,20.8
9,Nikolskoye,26.6,92,59.7,75,4.47
10,Kajiado,66.2,82,-1.85,0,4.7
11,Mataura,61.68,65,-46.19,64,4.52
12,Georgetown,82.4,78,6.8,75,13.87
13,Miranda de Ebro,48.2,86,42.69,75,8.05
14,Kruisfontein,63.8,96,-34.0,92,7.31
15,Moctezuma,62.4,57,29.81,88,2.77
16,Nishihara,41.0,64,35.74,1,17.22
17,Kizilskoye,0.21,72,52.73,12,9.89
18,Ushuaia,55.4,61,-54.81,40,18.34
19,Provideniya,1.4,77,64.42,12,26.84
20,Nanortalik,31.98,97,60.14,92,11.34
21,Plettenberg Bay,65.91,100,-34.05,76,1.72
22,Kavieng,84.09,100,-2.57,76,8.81
23,Punta Arenas,55.4,54,-53.16,40,18.34
24,Puerto Ayora,86.0,55,-0.74,20,8.05
25,Saint-Joseph,51.8,62,43.56,24,14.99
26,Faanui,83.19,100,-16.48,56,5.53
27,Lake Cowichan,42.8,100,48.82,90,9.93
28,Konigstein,37.4,93,50.92,90,17.22
29,Gari,16.05,72,59.43,80,7.81
30,Avarua,80.6,61,-21.21,40,6.93
31,Saint-Philippe,35.96,86,45.36,90,6.93
32,Dikson,-8.61,97,73.51,44,9.04
33,Puerto Baquerizo Moreno,82.4,69,-0.9,0,11.41
34,Atuona,80.45,100,-9.8,64,16.15
35,Bethel,8.6,84,60.79,90,8.05
36,Alofi,82.4,88,-19.06,75,6.93
37,Tamiahua,75.9,90,21.28,24,6.24
38,Busselton,65.55,100,-33.64,0,18.84
39,Yar-Sale,-15.09,90,66.83,0,4.34
40,Klaksvik,33.8,74,62.23,8,1.12
41,New Norfolk,55.4,47,-42.78,20,16.11
42,Elverum,30.63,68,60.88,48,9.15
43,Coroata,79.95,75,-6.39,68,4.29
44,Bambous Virieux,80.6,83,-20.34,40,10.29
45,Karad,49.71,87,17.29,0,3.06
46,Imbituba,80.6,74,-28.24,75,8.05
47,Torbay,19.4,79,47.66,90,21.92
48,Mehamn,26.6,86,71.03,75,4.7
49,Hobart,53.6,50,-42.88,20,13.87
50,Mahebourg,80.6,83,-20.41,40,10.29
51,Katsuura,44.6,45,33.93,40,21.92
52,Aksu,-0.41,91,52.04,0,8.95
53,Jamestown,54.84,93,-33.21,32,9.44
54,Upernavik,-2.18,100,72.79,76,9.55
55,Aklavik,-23.81,65,68.22,5,2.24
56,Albany,42.08,86,42.65,90,8.05
57,Minamiashigara,41.0,64,35.32,1,17.22
58,Vanderhoof,12.45,67,54.02,36,3.06
59,Fortuna,48.2,81,38.18,0,4.7
60,Victoria,80.6,94,5.28,75,4.29
61,Pevek,-15.45,69,69.7,0,3.85
62,Nchelenge,69.42,93,-9.35,56,2.77
63,Tiksi,-35.48,0,71.64,12,3.62
64,Khatanga,-18.42,26,71.98,56,4.07
65,Hermanus,62.63,93,-34.42,92,4.63
66,Ponta do Sol,71.9,96,-20.63,32,3.89
67,Abbeyfeale,48.2,93,52.38,75,4.7
68,Alyangula,84.2,83,-13.85,36,3.36
69,Hilo,75.92,59,19.71,1,3.36
70,Houma,17.49,64,35.63,68,5.08
71,Calama,73.4,39,-22.46,0,23.04
72,Magadan,16.59,100,59.56,48,28.68
73,High Level,-3.53,62,58.52,20,5.12
74,Namibe,72.93,100,-15.19,0,3.78
75,Hithadhoo,81.98,100,-0.6,80,12.39
76,Mar del Plata,62.27,36,-46.43,92,16.82
77,Westport,42.8,100,53.8,75,4.7
78,Vao,27.53,89,59.1,88,6.91
79,Tamandare,74.6,95,-8.28,64,2.33
80,Borogontsy,-48.84,0,62.67,0,2.73
81,Gumdag,36.93,88,39.2,0,14.07
82,Beringovskiy,22.26,87,63.05,92,32.64
83,Vaini,59.12,82,15.34,0,3.51
84,Sola,41.0,80,58.89,20,18.34
85,Stokmarknes,37.4,80,68.56,40,11.41
86,Yellowknife,-18.41,75,62.45,75,4.7
87,Longyearbyen,21.2,62,78.22,20,9.17
88,Aykhal,-13.34,57,65.95,44,2.89
89,Port Elizabeth,48.92,79,39.31,90,4.7
90,Veraval,46.4,80,49.65,75,6.93
91,Batemans Bay,66.36,100,-35.71,64,3.29
92,Oda,45.3,100,35.19,80,23.35
93,Santa Cruz de Tenerife,62.6,63,28.47,0,6.93
94,Morgan City,75.2,66,29.7,90,8.05
95,Tanout,55.02,61,14.97,56,9.66
96,Severo-Kurilsk,25.5,100,50.68,56,17.31
97,Guerrero Negro,71.18,48,27.97,0,4.23
98,San Cristobal,60.8,72,-0.39,75,9.17
99,Upington,84.2,23,-28.46,0,6.93
100,Pangnirtung,-25.61,74,66.15,20,4.9
101,Coihaique,48.2,66,-45.58,90,9.17
102,Vadso,30.2,86,70.07,75,10.29
103,Bedesa,41.52,67,8.9,0,2.06
104,Sibolga,68.97,100,1.74,68,1.88
105,Petkovci,28.4,100,44.45,90,1.12
106,Coro,81.53,68,11.41,20,12.12
107,Altay,-22.16,26,47.83,0,0.76
108,Hastings,67.67,100,-39.64,88,10.56
109,Hay River,-9.41,69,60.82,75,6.93
110,Sobolevo,8.67,78,54.43,56,11.68
111,Port Alfred,70.95,97,-33.59,92,6.35
112,Carnarvon,72.21,31,-30.97,0,8.32
113,Yashkino,14.0,85,55.87,0,11.18
114,Souillac,46.4,100,45.6,90,4.7
115,Narsaq,27.21,95,60.91,92,0.76
116,Port Blair,79.82,100,11.67,20,0.76
117,Valparaiso,48.92,54,41.47,40,23.04
118,Anadyr,8.6,60,64.73,48,22.37
119,Moron,77.97,58,10.49,8,5.64
120,Barrow,83.46,31,-38.31,0,5.75
121,Dunmore Town,75.77,100,25.5,80,7.14
122,Hofn,40.08,97,64.25,80,17.94
123,Bulgan,-16.04,20,48.81,0,3.11
124,Petropavlovsk-Kamchatskiy,19.4,62,53.05,48,11.18
125,East London,72.98,99,-33.02,76,0.49
126,Haicheng,-10.86,55,40.85,0,3.4
127,Marawi,56.15,94,8.0,0,2.39
128,Praia da Vitoria,60.8,87,38.73,40,22.91
129,Luderitz,60.24,80,-26.65,0,13.58
130,Easton,44.06,92,42.02,90,4.52
131,Iqaluit,-29.21,66,63.75,20,4.7
132,Rawson,69.92,20,-43.3,32,17.49
133,Floro,35.6,80,61.6,40,11.41
134,Kununurra,82.4,83,-15.77,12,5.82
135,Palmer,59.0,77,-34.85,40,9.17
136,Baley,-6.0,66,51.58,0,5.57
137,Sitka,53.45,24,37.17,0,10.94
138,Homer,19.04,87,59.64,90,3.36
139,Chake Chake,83.42,91,-5.25,48,11.05
140,Sioux Lookout,14.0,78,50.1,90,12.75
141,Ambilobe,71.67,100,-13.19,92,2.73
142,Carbonia,51.8,76,39.17,40,4.7
143,Tuktoyaktuk,-27.41,74,69.44,40,4.7
144,Hit,48.27,70,33.64,44,14.92
145,Londonderry,37.04,92,42.87,90,4.07
146,Gornyy,-0.56,78,51.76,48,3.11
147,Qasigiannguit,17.6,78,68.82,90,17.22
148,College,-14.98,76,64.86,90,3.06
149,Bathsheba,82.4,65,13.22,40,14.99
150,Uvalde,75.92,64,29.21,1,4.52
151,Hovd,37.4,90,63.83,90,10.29
152,Bambanglipuro,69.6,97,-7.95,56,2.28
153,Paramirim,76.98,52,-13.44,32,7.92
154,Karasburg,66.18,39,-28.01,0,13.69
155,Shelui,67.13,92,-4.36,64,2.62
156,Esperance,84.2,62,10.24,20,16.11
157,Jumla,16.86,90,29.28,88,1.54
158,Barabai,73.92,99,-2.59,80,2.28
159,Fort Nelson,-22.01,74,58.81,75,3.29
160,Phulabani,43.32,78,20.47,0,2.62
161,Bandarbeyla,77.16,100,9.49,92,16.93
162,Collie,57.54,82,-33.36,0,14.58
163,Arraial do Cabo,89.6,65,-22.97,0,20.8
164,San Patricio,80.45,92,-26.98,100,4.0
165,Kot Khai,30.05,86,31.12,0,2.21
166,Saskylakh,-39.44,0,71.97,0,9.26
167,Hakui,37.4,74,36.89,75,26.4
168,Shenkursk,21.99,88,62.11,88,3.85
169,Amot,25.86,69,59.57,0,8.1
170,Ribeira Grande,62.6,82,38.52,40,26.4
171,Bakchar,7.55,83,57.02,68,4.79
172,Norman Wells,-40.01,65,65.28,20,2.55
173,Fruitville,17.6,61,45.71,75,26.4
174,Kabo,77.12,35,7.69,0,8.32
175,Great Falls,23.0,62,47.5,40,3.36
176,Deputatskiy,-34.94,0,69.3,44,2.73
177,Vardo,55.4,70,39.62,20,3.36
178,Sao Filipe,74.15,93,14.9,0,11.79
179,Henties Bay,61.73,100,-22.12,0,6.91
180,Riyadh,60.8,48,24.63,0,3.36
181,Katherine,80.6,83,-14.47,68,8.05
182,Komsomolskiy,-11.67,56,67.55,64,3.22
183,Roura,84.2,66,4.73,75,10.29
184,Shieli,31.4,98,44.18,88,9.93
185,Cherskiy,-16.98,0,68.75,0,5.53
186,Hasaki,35.6,100,35.73,75,8.05
187,Mubende,64.65,63,0.56,32,2.55
188,Gayny,20.87,83,60.3,76,9.37
189,Walvis Bay,64.4,68,-22.95,0,6.93
190,Shingu,48.09,100,33.72,12,21.68
191,Tasiilaq,32.0,97,65.61,92,40.26
192,Podporozhye,24.24,94,60.91,80,5.08
193,Bluff,70.95,93,-23.58,92,11.12
194,Temirtau,15.8,78,50.05,40,17.9
195,Lobito,69.33,94,-12.35,48,2.51
196,Gikongoro,62.4,73,-2.46,36,2.73
197,Sedhiou,76.8,49,12.71,0,4.41
198,Chuy,81.03,82,-33.69,0,12.35
199,Keti Bandar,67.89,100,24.14,0,10.27
200,Parana,86.0,74,-7.52,75,5.82
201,Cidreira,73.2,100,-30.17,92,13.35
202,Chernyshevskiy,0.98,69,63.01,56,2.39
203,Tuatapere,60.24,82,-46.13,64,6.24
204,Mareeba,75.2,94,-16.99,20,4.23
205,Hobyo,76.85,81,5.35,44,16.71
206,Xuanhua,-7.04,54,40.61,44,1.99
207,Hamilton,62.6,55,32.3,75,5.82
208,Oktyabrskiy,15.8,92,55.61,0,4.47
209,Pangody,-15.68,69,65.85,64,3.29
210,Yuci,21.2,41,37.68,24,4.47
211,Muros,48.2,81,42.77,0,8.05
212,Namatanai,82.92,100,-3.66,64,7.31
213,Qinhuangdao,-8.03,47,39.94,0,2.39
214,Vaitape,80.4,100,-16.52,64,1.88
215,Goldsboro,71.6,50,35.38,75,16.11
216,Front Royal,64.4,48,38.92,90,7.54
217,Warrnambool,59.3,93,-38.38,56,10.78
218,Mount Gambier,48.2,93,-37.83,75,4.7
219,Saldanha,25.32,77,41.42,0,2.62
220,Jacmel,91.4,38,18.24,40,10.29
221,Rocha,84.23,69,-34.48,0,6.31
222,Lasa,51.8,100,34.92,75,27.51
223,Hami,4.22,58,42.84,76,0.27
224,Lompoc,64.4,48,34.64,1,9.17
225,Jerome,59.0,50,34.75,1,9.17
226,Alexandria,78.08,53,31.31,1,5.82
227,Chumikan,-4.92,67,54.72,0,10.94
228,Los Llanos de Aridane,64.4,63,28.66,40,6.93
229,Ucluelet,41.0,86,48.94,90,2.84
230,Khanu Woralaksaburi,71.27,94,16.06,56,1.5
231,Thompson,1.4,70,55.74,90,17.22
232,Wajid,78.02,32,3.81,36,11.45
233,Geraldton,23.0,73,49.72,90,10.29
234,Pathein,69.51,100,16.78,88,4.41
235,Svetlaya,15.38,100,46.54,0,15.7
236,Den Helder,44.6,75,52.96,20,21.92
237,Akure,72.39,46,7.25,0,4.79
238,Mbalmayo,69.8,88,3.52,20,4.74
239,Banda Aceh,72.98,100,5.56,32,2.06
240,Emba,51.8,100,34.81,75,27.51
241,Port Lincoln,61.14,94,-34.72,32,10.27
242,Puerto Leguizamo,96.33,37,-0.19,44,3.22
243,Kirkkonummi,32.0,100,60.12,75,5.82
244,Batagay-Alyta,-46.32,0,67.8,8,2.62
245,Salekhard,-29.36,0,66.54,12,4.23
246,Broome,42.8,86,52.47,75,14.99
247,Port-Gentil,80.6,83,-0.72,20,3.36
248,Warka,30.2,92,51.79,75,10.29
249,Ogulin,42.8,93,45.27,75,4.7
250,Marathon,24.8,85,48.72,90,6.93
251,Lebu,35.27,55,8.96,0,3.11
252,Orapa,79.59,54,-21.28,8,9.04
253,Shelburne,41.0,93,44.08,75,6.93
254,Vanimo,82.97,100,-2.67,68,14.81
255,Papara,82.4,78,-3.98,40,10.29
256,Genhe,-9.33,60,50.78,0,7.02
257,Havelock,73.04,55,34.88,1,16.11
258,Manicore,80.27,86,-5.81,92,2.33
259,Ajdabiya,48.77,94,30.75,100,2.77
260,Central Point,60.98,49,42.38,40,7.54
261,Taltal,67.89,65,-25.41,0,4.85
262,Saint George,24.8,62,39.45,0,6.93
263,Aripuana,79.59,86,-9.17,68,2.62
264,Ambon,44.6,81,47.55,90,5.82
265,Shahr-e Babak,38.28,47,30.12,12,4.85
266,Nova Olinda do Norte,80.4,90,-3.89,80,2.89
267,Honiara,77.79,94,-9.43,20,2.84
268,Lakhimpur,47.91,93,27.24,0,2.28
269,Mossendjo,74.1,93,-2.95,68,2.1
270,Lexington Park,60.44,71,38.26,40,8.05
271,Khamza,37.4,100,40.42,40,2.24
272,Bunda,71.6,83,-2.02,75,9.82
273,Cap Malheureux,80.6,83,-19.98,40,10.29
274,Zhuanghe,12.23,100,39.7,8,4.07
275,Santa Fe,84.05,82,-31.62,20,6.35
276,Yarmouth,41.0,93,50.71,20,4.7
277,Amapa,84.2,58,15.09,40,10.29
278,Bilma,47.78,50,18.69,24,3.56
279,Athabasca,-0.6,63,54.72,0,5.3
280,Iglesias,37.4,93,42.3,0,10.29
281,Cabo San Lucas,82.4,61,22.89,20,4.7
282,Lavrentiya,1.52,91,65.58,0,29.51
283,Tautira,82.4,78,-17.73,90,9.17
284,Labytnangi,-29.36,0,66.66,12,4.23
285,Kodiak,50.0,43,39.95,1,19.46
286,Tabuk,54.21,85,17.41,32,0.6
287,Yulara,75.2,27,-25.24,0,11.41
288,Avera,71.96,61,33.19,90,12.75
289,Sao Felix do Xingu,79.1,83,-6.64,12,2.28
290,Luxor,53.6,62,25.7,0,2.24
291,Ulaanbaatar,-16.61,68,47.92,0,2.24
292,Teodoro Sampaio,84.0,65,-22.53,48,1.83
293,Nelson Bay,71.6,83,-32.72,64,8.05
294,Clyde River,-4.01,91,70.47,90,28.86
295,Zyryanskoye,11.15,77,56.83,80,7.81
296,Vila Franca do Campo,60.8,67,37.72,20,17.22
297,Gravdal,41.0,100,59.79,40,31.09
298,Voh,76.89,98,-20.95,0,10.11
299,Yining,37.07,99,29.04,92,2.62
300,Rosarito,78.8,72,4.91,75,4.7
301,Khandbari,19.92,60,27.38,76,1.54
302,Laguna,68.0,64,27.52,90,4.7
303,Beira,46.4,87,43.2,0,3.33
304,Lata,33.06,84,30.78,76,1.88
305,Ostrovnoy,14.16,88,68.05,80,14.85
306,Tilichiki,21.05,81,60.47,56,11.9
307,Itarema,77.7,90,-2.92,88,7.14
308,Portland,48.02,70,45.52,90,11.41
309,Quatre Cocos,80.6,83,-20.21,40,10.29
310,Taylor,77.0,36,30.57,1,8.05
311,Sarkand,33.6,93,45.41,92,3.33
312,Vostok,-9.74,65,46.45,8,4.63
313,Kaura Namoda,64.29,29,12.59,44,9.66
314,Jasper,69.98,60,33.83,12,9.17
315,Ngaoundere,61.5,47,7.32,0,5.79
316,Okha,-8.16,79,53.59,0,13.35
317,Mandalgovi,-6.68,63,45.76,0,8.43
318,Kaitangata,60.02,78,-46.28,68,4.52
319,Lumphat,73.65,67,13.5,0,5.12
320,Condoto,84.2,79,5.09,75,6.93
321,Sao Joao de Pirabas,79.73,100,-0.77,64,8.1
322,Tabou,83.1,99,4.42,32,7.58
323,Beloha,73.52,89,-25.17,0,4.29
324,San Felipe,65.15,54,-32.75,0,2.33
325,Ballina,42.8,100,54.11,75,4.7
326,Xai-Xai,75.23,100,-25.04,80,11.34
327,Awbari,33.51,69,26.59,0,6.02
328,Naron,46.4,87,43.52,0,21.63
329,Potsdam,37.4,86,52.4,75,12.75
330,Tongliao,4.58,35,43.61,0,14.85
331,Pointe-Noire,80.6,88,-4.8,40,3.36
332,Tiznit,51.47,80,29.7,0,0.6
333,Chokurdakh,-24.23,36,70.62,68,5.35
334,Zeya,-20.4,28,53.74,8,1.61
335,Ardakan,51.8,27,32.31,20,4.7
336,Simao,52.14,100,22.76,92,2.1
337,Kloulklubed,78.8,83,7.04,90,16.11
338,La Montanita,91.4,58,12.26,20,4.7
339,Ancud,55.4,58,-41.87,75,18.34
340,Port Hardy,37.4,69,50.7,90,35.57
341,Alta Floresta,81.17,82,-9.87,68,1.1
342,Chalinze,78.33,79,-6.64,32,3.22
343,Usinsk,-16.8,73,66.0,0,4.63
344,Dwarka,47.46,93,28.58,0,7.92
345,Wuwei,-10.46,42,37.93,0,1.83
346,Cervo,81.12,64,-22.19,44,4.23
347,Utica,37.04,95,43.1,90,9.17
348,Jutai,80.27,85,-1.71,92,2.89
349,Enshi,30.54,97,30.29,100,3.06
350,Guadalupe y Calvo,68.34,35,26.09,44,2.55
351,Celestun,77.07,92,20.87,0,13.18
352,Kamenka,3.95,80,53.19,48,7.09
353,Camopi,76.17,92,3.17,68,2.62
354,Jalu,42.65,87,29.03,0,2.55
355,Ladybrand,50.88,85,-29.19,0,2.33
356,San Carlos de Bariloche,50.0,57,-41.13,40,28.86
357,Hulan,46.4,24,34.23,0,11.41
358,Brigantine,48.92,86,39.41,90,9.44
359,Kedrovyy,5.0,92,56.17,0,6.35
360,Dong Hoi,73.43,97,17.48,92,10.56
361,Methven,63.08,97,-43.63,0,5.01
362,Zaria,60.92,35,11.11,8,7.76
363,Conde,81.12,76,-11.81,56,10.56
364,Haines Junction,-34.53,0,60.75,8,1.77
365,Paamiut,28.02,100,61.99,88,25.77
366,Boa Viagem,78.92,72,-5.13,76,4.23
367,Ponta Delgada,60.8,67,37.73,20,17.22
368,Brownsville,80.06,66,25.91,90,11.41
369,Buta,74.01,68,2.79,12,3.74
370,Talnakh,-9.6,83,69.49,48,2.62
371,Visby,35.6,100,57.64,90,9.17
372,Girvan,42.8,75,55.24,20,3.36
373,Husavik,13.35,86,50.56,88,20.85
374,Turayf,44.6,70,31.68,0,14.99
375,Toora-Khem,-19.41,24,52.47,36,2.33
376,Manokwari,77.34,100,-0.87,88,4.0
377,Leningradskiy,-7.53,79,69.38,0,20.74
378,Troitsko-Pechorsk,7.28,68,62.71,64,6.58
379,Mount Isa,84.2,13,-20.73,0,14.99
380,Jagraon,41.88,80,30.8,0,6.91
381,Whitianga,69.15,98,-36.83,24,6.64
382,Constitucion,75.2,27,23.99,75,3.36
383,Ano Mera,41.0,64,37.45,0,3.36
384,Miri,59.48,44,10.31,0,4.9
385,Herat,28.43,75,34.35,0,4.34
386,Bonthe,82.92,55,7.53,80,2.39
387,Gat,75.2,38,14.69,0,12.75
388,Eyl,74.33,100,7.98,92,16.64
389,Pisco,71.6,30,-13.71,0,11.41
390,Vestmannaeyjar,43.23,97,63.44,92,23.09
391,Shumskiy,20.64,59,54.83,20,6.35
392,Mayo,-47.21,63,63.59,20,2.24
393,Pedernales,78.47,90,0.07,76,4.56
394,Almeirim,53.6,50,39.21,0,5.82
395,Havoysund,26.6,92,71.0,40,11.41
396,Khani,48.2,49,41.96,75,36.91
397,Xining,-7.58,45,36.62,0,2.55
398,Barabinsk,10.7,78,55.35,92,3.33
399,Boffa,78.65,72,10.18,76,3.74
400,Sept-Iles,21.2,79,50.2,90,18.34
401,Moengo,82.38,65,5.62,24,4.9
402,Okhotsk,-8.7,100,59.36,68,9.04
403,Zonguldak,33.2,100,41.25,88,6.76
404,Mantua,33.8,100,45.16,75,2.24
405,Starobaltachevo,6.78,78,56.0,92,9.55
406,Fare,82.11,100,-16.7,80,6.13
407,Lengshuitan,36.84,98,26.41,92,3.78
408,Clovis,64.94,67,36.83,75,3.36
409,Sarny,15.47,84,51.32,0,13.91
410,Hualmay,76.13,67,-11.1,0,5.41
411,Wasilla,8.06,82,61.58,75,2.1
412,Mangrol,43.73,83,25.33,0,2.89
413,Fukue,42.8,75,35.03,75,29.97
414,Nome,78.98,50,30.04,20,4.7
415,Bilibino,-12.93,19,68.06,0,5.3
416,Sur,68.88,100,22.57,0,4.41
417,Samarai,83.42,100,-10.62,0,14.47
418,Nakamura,42.8,75,35.17,75,29.97
419,Snina,17.94,81,48.99,80,7.87
420,Ciechocinek,37.4,100,52.88,90,6.93
421,Taywarah,4.53,59,33.35,0,2.21
422,Waddan,44.45,74,29.16,64,3.0
423,Sao Joao da Barra,86.0,55,-21.64,0,23.04
424,Marsh Harbour,75.72,100,26.54,12,5.86
425,Khorramabad,42.8,75,33.48,90,4.7
426,Kitimat,19.4,79,54.02,90,23.04
427,Luanda,80.6,83,-8.83,20,6.93
428,Shubarkuduk,-7.62,61,49.15,32,3.06
429,Bubaque,81.48,91,11.28,24,3.78
430,Poum,-0.87,60,41.28,32,1.77
431,Roald,37.4,86,62.58,75,13.87
432,Kyabe,72.84,36,9.45,12,5.79
433,Angatuba,78.02,86,-23.49,36,3.78
434,Honningsvag,26.6,86,70.98,75,2.24
435,Vysokogornyy,-5.06,63,50.1,36,9.55
436,Kulhudhuffushi,81.3,100,6.62,0,9.1
437,Vanavara,3.27,62,60.35,0,7.81
438,Lagoa,53.6,87,37.14,0,3.36
439,Axim,82.7,100,4.87,44,7.43
440,Natal,82.4,74,-5.81,40,11.41
441,Vila do Maio,73.4,56,15.13,0,12.75
442,Derzhavinsk,15.06,85,51.1,76,11.16
443,Sorland,37.4,74,67.67,75,19.46
444,Canto do Buriti,80.85,75,-8.11,48,3.74
445,Omboue,79.59,100,-1.57,36,4.52
446,Daru,79.28,38,7.99,56,5.12
447,Codrington,69.8,94,-28.95,92,3.22
448,Tura,49.35,82,25.52,0,3.06
449,Chimbote,74.19,81,-9.08,64,6.24
450,Pangkalanbuun,72.21,97,-2.68,36,2.84
451,Itoman,64.4,68,26.12,75,18.34
452,Itaituba,80.4,87,-4.26,64,2.21
453,Ilulissat,17.6,78,69.22,90,17.22
454,Karratha,78.38,68,-20.74,76,2.89
455,Shache,12.09,76,38.42,56,1.28
456,Kieta,80.18,100,-6.22,12,3.74
457,Nianzishan,3.99,53,47.51,0,9.33
458,Otradnoye,26.6,92,59.77,75,4.47
459,Valle de Allende,69.42,45,26.94,44,5.91
460,Saint-Pierre,42.8,80,48.95,75,13.87
461,Nyimba,69.2,93,-14.56,44,2.39
462,Chara,24.8,62,39.42,0,6.93
463,Sabalgarh,44.31,87,26.25,0,3.22
464,Zhangjiakou,-3.71,58,40.77,48,1.54
465,Mitsamiouli,83.19,96,-11.38,20,8.88
466,Tromso,33.8,74,69.65,20,4.7
467,Egvekinot,-38.54,0,66.32,0,4.63
468,Kem,73.25,35,2.68,44,8.66
469,Phan Thiet,75.77,97,10.93,0,13.96
470,Penticton,28.4,68,49.49,90,4.7
471,Salto del Guaira,85.4,74,-24.06,80,6.31
472,Margate,55.4,47,-43.03,20,16.11
473,Synya,-13.79,62,65.37,0,5.08
474,Eureka,57.92,69,40.8,90,19.46
475,Oneida,46.94,56,41.07,1,24.16
476,Xuanzhou,35.04,100,30.95,92,12.17
477,Araouane,59.43,33,18.9,36,6.35
478,Ahtopol,21.2,79,42.1,0,6.93
479,Upata,78.65,72,8.02,56,8.14
480,Rastolita,3.63,73,46.97,80,1.5
481,Angostura,78.78,63,25.37,56,5.08
482,Jinchang,-3.48,50,38.52,0,2.1
483,Necochea,74.19,72,-38.55,20,8.81
484,Montlucon,34.59,97,46.33,88,8.66
485,Yoichi,25.77,100,43.19,64,17.94
486,Turbiv,14.0,72,49.34,90,8.95
487,Aragarcas,93.2,49,-15.9,40,2.24
488,Gonaives,80.6,65,19.45,75,12.75
489,Stromness,46.94,100,42.87,90,6.93
490,Vieste,49.22,100,41.88,80,10.27
491,Arlit,51.92,76,18.74,0,3.0
492,Liaoyang,-2.21,64,41.27,0,4.47
493,Payakumbuh,71.31,97,-0.23,92,1.83
494,Nanchang,42.65,100,28.68,100,11.61
495,Humaita,87.8,55,-24.93,20,8.05
496,Kudinovo,15.8,92,55.76,0,4.47
497,Taree,68.0,94,-31.91,0,2.24
498,Zhangye,-1.5,66,38.94,56,8.25
499,Moramanga,64.38,100,-18.95,48,2.21
500,Atambua,76.71,100,-9.11,92,0.72
501,Mersing,80.22,87,2.43,88,9.93
502,Guane,80.9,68,22.2,24,4.63
503,Garowe,67.4,74,8.41,0,10.45
504,Cayenne,84.2,66,4.94,75,10.29
505,Marrakesh,42.8,60,31.63,0,3.36
506,Riacho de Santana,82.74,53,-13.61,44,9.89
507,Bridlington,41.0,75,54.08,48,6.93
508,Zhigansk,-39.12,0,66.77,0,2.55
509,Chitral,-3.53,74,35.85,0,0.87
510,Menongue,67.89,74,-14.66,80,2.77
511,Yerbogachen,7.05,67,61.28,68,9.15
512,Xuddur,74.19,37,4.12,24,11.05
513,Adiake,82.4,78,5.29,12,3.36
514,Morant Bay,82.4,58,17.88,20,9.17
515,Progreso,84.2,58,-34.68,75,6.13
